Row ID,Row Title,requirement
PRQ-001,PRQ-001 — CI workflows trigger on push and PR,
PRQ-002,PRQ-002 — Test suite runs as merge gate,REQ-087: REQ-087 — Items inside verbatim blocks are not parsed; REQ-088: REQ-088 — Inline macros inside verbatim blocks are not parsed; REQ-089: REQ-089 — Old macros inside verbatim blocks do not trigger errors
PRQ-003,PRQ-003 — Example site builds without errors,REQ-005: REQ-005 — Old macro syntax generates a deprecation error or warning
PRQ-004,PRQ-004 — Example site deploys from main branch,REQ-072: REQ-072 — Landing page at GitHub Pages root
PRQ-005,PRQ-005 — Release is tagged and versioned,
PRQ-006,PRQ-006 — PDF artifacts are generated alongside HTML,REQ-060: REQ-060 — Pages workflow generates PDFs; REQ-093: REQ-093 — Devbox provides Ruby and Node.js for PDF builds

Total 6 rows
Coverage: 66.7%
